"file_name","size_bytes","size_mb","title","source_page","original_url","license","license_url","artist","credit"
"01_Consider_the_lilies..._.gif","5167812","4,93","File:""Consider the lilies..."".gif","https://commons.wikimedia.org/wiki/File%3A%22Consider_the_lilies...%22.gif","https://upload.wikimedia.org/wikipedia/commons/0/0f/%22Consider_the_lilies...%22.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","","B.W. Kilburn","Stereoscopic postcard, B.W. Kilburn, Littleton, N.H."
"02_Minor_edit__option_on_Odia_Wikipedia.gif","566313","0,54","File:""Minor edit"" option on Odia Wikipedia.gif","https://commons.wikimedia.org/wiki/File%3A%22Minor_edit%22_option_on_Odia_Wikipedia.gif","https://upload.wikimedia.org/wikipedia/commons/9/95/%22Minor_edit%22_option_on_Odia_Wikipedia.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Subhashish Panigrahi","Own work"
"03_Popcorn_cumulus__cloud_streets_in_Venezuela_(CIRA_2018-10-16).gif","26109040","24,9","File:""Popcorn cumulus"" cloud streets in Venezuela (CIRA 2018-10-16).gif","https://commons.wikimedia.org/wiki/File%3A%22Popcorn_cumulus%22_cloud_streets_in_Venezuela_(CIRA_2018-10-16).gif","https://upload.wikimedia.org/wikipedia/commons/d/d3/%22Popcorn_cumulus%22_cloud_streets_in_Venezuela_%28CIRA_2018-10-16%29.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","","GOES imagery: CSU/CIRA & NOAA","""Popcorn cumulus"" cloud streets in Venezuela"
"04_The_lights_are_out_and_gone_are_all_the_guests._.gif","4412773","4,21","File:""The lights are out and gone are all the guests."".gif","https://commons.wikimedia.org/wiki/File%3A%22The_lights_are_out_and_gone_are_all_the_guests.%22.gif","https://upload.wikimedia.org/wikipedia/commons/d/df/%22The_lights_are_out_and_gone_are_all_the_guests.%22.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","","B.W. Kilburn","Stereoscopic postcard, B.W. Kilburn, Littleton, N.H."
"05_There's_no_place_like_home._.gif","5026602","4,79","File:""There's no place like home."".gif","https://commons.wikimedia.org/wiki/File%3A%22There's_no_place_like_home.%22.gif","https://upload.wikimedia.org/wikipedia/commons/0/05/%22There%27s_no_place_like_home.%22.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","","B.W. Kilburn","Stereoscopic postcard, B.W. Kilburn, Littleton, N.H."
"06_Work_in_progress_,_animated.gif","27242","0,03","File:""Work in progress"", animated.gif","https://commons.wikimedia.org/wiki/File%3A%22Work_in_progress%22%2C_animated.gif","https://upload.wikimedia.org/wikipedia/commons/e/e6/%22Work_in_progress%22%2C_animated.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","","User:Mattes","Own work"
"07_(33342)_1998_WT24_bistatic_radar_image.gif","116824","0,11","File:(33342) 1998 WT24 bistatic radar image.gif","https://commons.wikimedia.org/wiki/File%3A(33342)_1998_WT24_bistatic_radar_image.gif","https://upload.wikimedia.org/wikipedia/commons/0/03/%2833342%29_1998_WT24_bistatic_radar_image.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","Public domain","","Duckysmokton","Animation created from image [1]"
"08_.Animation_of_Hayabusa2_orbit.gif","7262063","6,93","File:.Animation of Hayabusa2 orbit.gif","https://commons.wikimedia.org/wiki/File%3A.Animation_of_Hayabusa2_orbit.gif","https://upload.wikimedia.org/wikipedia/commons/9/96/.Animation_of_Hayabusa2_orbit.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Phoenix7777","Own work Data source: HORIZONS System , JPL, NASA"
"09_+44logo.gif","457344","0,44","File:+44logo.gif","https://commons.wikimedia.org/wiki/File%3A%2B44logo.gif","https://upload.wikimedia.org/wikipedia/commons/4/4b/%2B44logo.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Pokersfield","Own work"
"10_00001_Image_Ich-h_tte-fast-eine-EMU-TION.gif","233836","0,22","File:00001 Image Ich-hätte-fast-eine-EMU-TION.gif","https://commons.wikimedia.org/wiki/File%3A00001_Image_Ich-h%C3%A4tte-fast-eine-EMU-TION.gif","https://upload.wikimedia.org/wikipedia/commons/5/56/00001_Image_Ich-h%C3%A4tte-fast-eine-EMU-TION.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Lupus in Saxonia","Own work"
